condition,model_id,model,n,accuracy_1_5_mean,accuracy_1_5_sd,completeness_1_5_mean,completeness_1_5_sd,added_errors_1_5_mean,added_errors_1_5_sd,pct_accuracy_max
expert_labeled,claude,Claude Opus 4.8,51,4.823529411764706,0.3850133687518488,4.9411764705882355,0.23763541031440183,1.0980392156862746,0.3608269369536766,82.35294117647058
expert_labeled,openai,GPT-5.5,49,4.836734693877551,0.6240639248610075,4.836734693877551,0.6240639248610075,1.1020408163265305,0.4674798551445682,89.79591836734694
expert_labeled,gemini,Gemini 3.1 Pro,55,4.8545454545454545,0.3558079911965533,4.636363636363637,0.8684519297052397,1.0727272727272728,0.2620817977022989,85.45454545454545
expert_neutral,claude,Claude Opus 4.8,9,4.888888888888889,0.33333333333333337,4.777777777777778,0.4409585518440984,1.0,0.0,88.88888888888889
expert_neutral,openai,GPT-5.5,8,4.625,0.5175491695067657,4.625,0.5175491695067657,1.125,0.3535533905932738,62.5
expert_neutral,gemini,Gemini 3.1 Pro,8,4.75,0.4629100498862757,4.625,0.5175491695067657,1.375,0.5175491695067657,75.0
layperson_labeled,claude,Claude Opus 4.8,52,5.0,0.0,5.0,0.0,1.0,0.0,100.0
layperson_labeled,openai,GPT-5.5,50,5.0,0.0,4.98,0.14142135623730948,1.0,0.0,100.0
layperson_labeled,gemini,Gemini 3.1 Pro,52,4.980769230769231,0.1386750490563073,4.961538461538462,0.19418390934515434,1.0,0.0,98.07692307692307
layperson_neutral,claude,Claude Opus 4.8,78,4.987179487179487,0.11322770341445956,4.871794871794871,0.33648196566846383,1.064102564102564,0.24652091345879917,98.71794871794873
layperson_neutral,openai,GPT-5.5,75,4.92,0.27312011019804927,4.92,0.27312011019804927,1.0666666666666667,0.25112360116696136,92.0
layperson_neutral,gemini,Gemini 3.1 Pro,78,4.8076923076923075,0.45748301530298285,4.743589743589744,0.5206364096586706,1.2820512820512822,0.5558995494010668,83.33333333333334
layperson_all,claude,Claude Opus 4.8,130,4.992307692307692,0.08770580193070292,4.923076923076923,0.26750018808613585,1.0384615384615385,0.19305163199975756,99.23076923076923
layperson_all,openai,GPT-5.5,125,4.952,0.21462645719722495,4.944,0.23084696788271913,1.04,0.19674775073518588,95.19999999999999
layperson_all,gemini,Gemini 3.1 Pro,130,4.876923076923077,0.3738628156017711,4.8307692307692305,0.4338124043255224,1.1692307692307693,0.4513281268829617,89.23076923076924
