reviewer_name,reviewer_role,review_date,set_id,blind_id,accuracy_1_5,completeness_1_5,added_errors_1_5,notes
Mike Gotway,,6/26/2026,C,B-HBRPOIG8F1,5,5,1,"This statement was added and is not wrong, but non-sensical: ""The test does not need surgery. "" In general the re-write was clumsy and overly simplistic, and hence less effective than the original, but not ""wrong"""
Mike Gotway,,6/26/2026,C,B-HYF9SXMECO,1,1,2,"In the healthy diet section, added ""beans"" but no big deal."
Mike Gotway,,6/26/2026,C,B-UN5Z3JQIP9,5,5,1,
Mike Gotway,,6/26/2026,C,B-1ZXOI65FDH,4,5,1,"This phrase struck me a odd, although not actually wrong- "" The surgeon will put other tubes in your heart to take measurements and X-ray pictures."""
Mike Gotway,,6/26/2026,C,B-DPFF5E8II4,5,5,1,
Mike Gotway,,6/26/2026,C,B-Q71N8MTZX2,5,5,3,"This phrase is not correct and was added= ""A nurse puts the dye into your vein"" (occurs in two locations). More minor, but this phrase is not quite correct- ""When the dye goes in your vein, you will feel a pin prick"". Several other re-writes are noticeably clumsy, like ""A first result will be reported right away,"" ""No radiation stays in your body after a CT test,"" and ""The x-rays used for CT should have no quick side effects."" As an aside, the original text is way too long and redundant in a number of areas"
Mike Gotway,,6/26/2026,C,B-G1W103DGDZ,4,4,4,"This phrase- ""CT angiography may have some disadvantages. These depend on your needs and concerns. Talk with your provider about what this means for you"" was added and not correct. CT disadvantages do not depend on patient concerns... However, the original text was disjointed and clumsy and the actual disadvantages (reactions radiation, etc.) were not listed in the original. Alos, CT doesn't show capillary beds, but this claim was in the original, so not AI mistake. Surprised AI did not modify the use of the term ""aneurysm"" which many patients would not understand"
Mike Gotway,,6/26/2026,C,B-PE29GD8AFP,4,5,1,"Probably should have spelled out his abbreviation- MDCT. Also, seems AI changed the verbiage around contrast injection to suggest it may, or may not happen, which is obviously inaccurate for CCTA- ""During the scan, a dye may be put into your body."""
Mike Gotway,,6/26/2026,C,B-8DUDD467KD,4,5,2,"AI changing ""conventional"" to ""normal"" in this sentence- ""A normal angiogram"" actually makes the writing less clear. The change from ""not suitable"" as regards radiation from CT in pregnancy to ""not safe""- ""So CT scans are not safe for pregnant women"" adds a level of inaccuracy. The notion that contrast is not safe for patients with asthma is in both the original and AI rewrite and isn't accurate"
Mike Gotway,,6/26/2026,C,B-T7A9TGIQHG,4,1,1,"AI changed ""non-invasive"" to ""safe"" as regards CCTA. A bit of a fabrication. Not terrible, but not strictly an accurate change. This phrase is also not quite accurate- ""The coronary CT angiography is the most common type."". The original noted that CCTA is the most common type of cardiac CT, whereas this AI rewrite suggests that CCTA is the most common type f CT in general, obviously not accurate."
Mike Gotway,,6/26/2026,C,B-9AHEJ8CX9J,5,5,1,"Some clumsy ineffective wording- ""This scan does not go inside your body."""
Mike Gotway,,6/26/2026,C,B-ERW6Z8VBHQ,5,5,1,
Mike Gotway,,6/26/2026,C,B-VUHT6T0UZS,5,5,1,
Mike Gotway,,6/26/2026,C,B-M0YLTZ9ATS,5,5,1,
Mike Gotway,,6/26/2026,C,B-JAG1OL73D9,5,5,1,
Mike Gotway,,6/26/2026,C,B-2ESPRVU8FI,5,5,1,
Mike Gotway,,6/26/2026,C,B-BYVZK3I8BZ,5,5,1,
Mike Gotway,,6/26/2026,C,B-8DWOECBPMB,4,5,1,"Minor objection- AI rewrite calls anesthesiologists ""sleep doctors,"" which could be confused with pulmonary doctors"
Mike Gotway,,6/26/2026,C,B-GTHCW81XE6,5,5,1,
Mike Gotway,,6/26/2026,C,B-7R8431RUPF,5,5,1,"These particular materials are pretty lame in general. AI changed ""abdomen"" to ""belly""- I recognize the need for simplicity, but this seems over the top..."
Mike Gotway,,6/26/2026,C,B-P059P452BF,5,5,1,
Mike Gotway,,6/26/2026,C,B-W3RTQOHMUH,5,5,1,
Mike Gotway,,6/26/2026,C,B-DQ4HEZ5EDJ,5,5,1,
Mike Gotway,,6/26/2026,C,B-T1TDGNNQFK,4,5,1,"The original said, ""After getting a device"" (meaning some type of LAA closure), AI rewrite said, ""After you get a tool..."" Changing ""device to ""tool"" injects imprecision and confusion. Furthermore, this sentence AI rewrote- ""Some tools are placed well more than 95% of the time"" adds confusion. Means to say  device placement is successful more than 95% of time, but is clumsy and confusing"
Mike Gotway,,6/26/2026,C,B-3TZR6852FC,5,5,1,
