reviewer_name,reviewer_role,review_date,set_id,blind_id,accuracy_1_5,completeness_1_5,added_errors_1_5,notes
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-0O2RAK1VRJ,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-SFOGYR3XKX,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-REK8PK3YR9,5,5,2,"- The doctor puts the new valve inside the old valve. ""old valve"" is actually patient's own diseased valve most of the time so this term may be confusing."
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-AH8RVHS1K3,5,5,2,Did not tell us what full form of SAVR is as noted in original file.
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-87AU5BHXTP,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-OAEDOECVE6,5,1,1,It skipped some major information that was in the original data.
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-5N8I4P40MG,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-K054NZDKYA,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-F07UQNUPQZ,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-QIWEPXSK28,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-RSNVNQ65QD,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-1ICTXCWNPG,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-3WTOOBMZVR,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-QC1A78MX1E,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-N1U322N64K,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-P4E30MY5ZP,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-K42QPR75PR,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-Y088O5OR15,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-3UVYR0QF4B,5,4,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-PI4HN3QXKH,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-R2P3YVB5UL,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-WQVRR9A7MF,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-SOXLTA8IRC,5,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-I5GAS442VL,4,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-PL9EKA024S,4,5,1,
MUHAMMAD NAEEM,CARDIOTHORACIC RAD,2026-06-25,A,B-JRJEDKTS2H,5,5,1,
