page_id,model_id,judge_id,accuracy_1_5,completeness_1_5,added_errors_1_5,note,flagged_claims
acc__cta__c5b9cb9c,claude,claude,5,5,1,none,
acc__cta__c5b9cb9c,claude,gemini,5,5,1,none,
acc__cta__c5b9cb9c,claude,openai,4,5,3,"Rewrite overstates that high levels of all listed blood measures, including proteins, are risk factors lowered by lifestyle/medicine.",High levels are risk factors for heart disease. You can lower them by changing how you live. You can also lower them with medicine if you need it.
acc__cta__c5b9cb9c,gemini,claude,5,5,2,Added benign definition of plaque as 'fatty deposit'; otherwise faithful.,
acc__cta__c5b9cb9c,gemini,gemini,4,5,2,Saying blood flow 'slows down' during exercise is slightly inaccurate (it fails to increase adequately). Plaque definition was added.,But it might slow down when you exercise hard. | Plaque is a fatty deposit.
acc__cta__c5b9cb9c,gemini,openai,4,5,3,Minor overstatement that high proteins specifically can lead to heart disease.,"High levels of fats, cholesterol, sugar, and proteins can lead to heart disease. | Plaque is a fatty deposit."
acc__cta__c5b9cb9c,openai,claude,5,5,1,none,
acc__cta__c5b9cb9c,openai,gemini,5,5,1,none,
acc__cta__c5b9cb9c,openai,openai,5,5,1,none,
acc__tavr__7c9ba481,claude,claude,5,5,1,none,
acc__tavr__7c9ba481,claude,gemini,5,5,2,Added a trivial anatomical explanation of the aortic valve's function.,The aortic valve is one of the valves that helps blood move through your heart.
acc__tavr__7c9ba481,claude,openai,5,5,3,Added explanatory anatomy not in original.,The aortic valve is one of the valves that helps blood move through your heart.
acc__tavr__7c9ba481,gemini,claude,5,5,1,none,
acc__tavr__7c9ba481,gemini,gemini,5,5,1,none,
acc__tavr__7c9ba481,gemini,openai,5,5,1,none,
acc__tavr__7c9ba481,openai,claude,5,5,1,none,
acc__tavr__7c9ba481,openai,gemini,5,5,1,none,
acc__tavr__7c9ba481,openai,openai,5,5,1,none,
aha__cta__665795d9,claude,claude,5,5,1,none,
aha__cta__665795d9,claude,gemini,5,5,1,none,
aha__cta__665795d9,claude,openai,5,5,1,none,
aha__cta__665795d9,gemini,claude,5,5,1,none,
aha__cta__665795d9,gemini,gemini,5,5,1,none,
aha__cta__665795d9,gemini,openai,4,5,1,"Premedication may reduce, not stop, contrast allergic reactions.",You might get medicine before the test to stop an allergic reaction.
aha__cta__665795d9,openai,claude,5,5,1,none,
aha__cta__665795d9,openai,gemini,5,5,1,none,
aha__cta__665795d9,openai,openai,5,5,1,none,
aha__laao__f078cd99,claude,claude,5,4,1,Minor: ICD's defibrillator function omitted from rewrite ('work like a pacemaker' drops defibrillator role).,
aha__laao__f078cd99,claude,gemini,5,5,1,none,
aha__laao__f078cd99,claude,openai,4,4,1,Minor imprecision: blood thinners prevent clot formation rather than simply “stop clots.”,Blood thinners are medicine that stops clots.
aha__laao__f078cd99,gemini,claude,5,5,1,none,
aha__laao__f078cd99,gemini,gemini,5,5,1,none,
aha__laao__f078cd99,gemini,openai,4,5,1,Medication benefit is overstated as best rather than may be best for most people.,"For most people, medicine is the best way to treat AFib."
aha__laao__f078cd99,openai,claude,5,5,1,none,
aha__laao__f078cd99,openai,gemini,5,5,1,none,
aha__laao__f078cd99,openai,openai,5,5,1,none,
aha__tavr__a17a16b5,claude,claude,5,5,1,none,
aha__tavr__a17a16b5,claude,gemini,5,5,1,none,
aha__tavr__a17a16b5,claude,openai,5,4,1,Dropped that TAVR is for symptomatic severe aortic stenosis.,
aha__tavr__a17a16b5,gemini,claude,5,5,1,none,
aha__tavr__a17a16b5,gemini,gemini,5,5,1,none,
aha__tavr__a17a16b5,gemini,openai,5,5,2,none,
aha__tavr__a17a16b5,openai,claude,5,5,1,none,
aha__tavr__a17a16b5,openai,gemini,5,5,1,none,
aha__tavr__a17a16b5,openai,openai,5,5,1,none,
bhf__cta__273e2b24,claude,claude,5,5,1,none,
bhf__cta__273e2b24,claude,gemini,5,5,1,none,
bhf__cta__273e2b24,claude,openai,5,5,1,none,
bhf__cta__273e2b24,gemini,claude,4,4,1,Rewrite says calcium score uses MRI-free radiation but omits MRI contrast; also drops that risk decisions are usually based on risk factors,
bhf__cta__273e2b24,gemini,gemini,5,5,1,none,
bhf__cta__273e2b24,gemini,openai,5,5,1,none,
bhf__cta__273e2b24,openai,claude,5,5,1,none,
bhf__cta__273e2b24,openai,gemini,5,5,1,none,
bhf__cta__273e2b24,openai,openai,5,5,1,none,
bhf__tavr__333d87a9,claude,claude,5,5,1,none,
bhf__tavr__333d87a9,claude,gemini,5,5,1,none,
bhf__tavr__333d87a9,claude,openai,5,5,1,none,
bhf__tavr__333d87a9,gemini,claude,5,5,1,none,
bhf__tavr__333d87a9,gemini,gemini,5,5,1,none,
bhf__tavr__333d87a9,gemini,openai,4,5,1,"Minor overstatement that medicines stop, rather than reduce risk of, blood clots and strokes.","When you go home, you will take medicine to stop blood clots and strokes."
bhf__tavr__333d87a9,openai,claude,5,5,1,none,
bhf__tavr__333d87a9,openai,gemini,5,5,1,none,
bhf__tavr__333d87a9,openai,openai,5,5,1,none,
bwh__cta__41bd929e,claude,claude,5,5,1,none,
bwh__cta__41bd929e,claude,gemini,5,5,1,none,
bwh__cta__41bd929e,claude,openai,4,5,1,Minor overstatement defining no prior coronary disease as no heart attack or stent.,“This means they never had a heart attack or a heart stent.”
bwh__cta__41bd929e,gemini,claude,4,5,2,Oversimplification: 'Having plaque means you have heart disease' is slightly absolute but acceptable; 'safe' added.,A cardiac CT scan is a safe test (added 'safe' claim not in original)
